ccaa;año;pob_2034
Madrid, Comunidad de;2022;875040
Madrid, Comunidad de;2023;892002
Madrid, Comunidad de;2024;918512
Melilla;2008;14487
Melilla;2009;14697
Melilla;2010;14952
Melilla;2011;15214
Melilla;2012;15370
Melilla;2013;15587
Melilla;2014;15623
Melilla;2015;15707
Melilla;2016;15492
Melilla;2017;15401
Melilla;2018;15283
Melilla;2019;15399
Melilla;2020;15329
Melilla;2021;15341
Melilla;2022;15547
Melilla;2023;15822
Melilla;2024;16018
Murcia, Región de;2008;267601
Murcia, Región de;2009;263202
Murcia, Región de;2010;258129
Murcia, Región de;2011;253300
Murcia, Región de;2012;247751
Murcia, Región de;2013;241675
Murcia, Región de;2014;236244
Murcia, Región de;2015;230061
Murcia, Región de;2016;224087
Murcia, Región de;2017;219661
Murcia, Región de;2018;215530
Murcia, Región de;2019;213147
Murcia, Región de;2020;211476
Murcia, Región de;2021;211571
Murcia, Región de;2022;213417
Murcia, Región de;2023;215059
Murcia, Región de;2024;218307
Navarra, Comunidad Foral de;2008;107784
Navarra, Comunidad Foral de;2009;105550
Navarra, Comunidad Foral de;2010;103223
Navarra, Comunidad Foral de;2011;100211
Navarra, Comunidad Foral de;2012;97381
Navarra, Comunidad Foral de;2013;93837
Navarra, Comunidad Foral de;2014;91863
Navarra, Comunidad Foral de;2015;89226
Navarra, Comunidad Foral de;2016;86739
Navarra, Comunidad Foral de;2017;85417
Navarra, Comunidad Foral de;2018;84131
Navarra, Comunidad Foral de;2019;83858
Navarra, Comunidad Foral de;2020;83710
Navarra, Comunidad Foral de;2021;84240
Navarra, Comunidad Foral de;2022;84977
Navarra, Comunidad Foral de;2023;85886
Navarra, Comunidad Foral de;2024;87447
País Vasco;2008;397065
País Vasco;2009;380261
País Vasco;2010;363123
País Vasco;2011;345804
País Vasco;2012;329084
País Vasco;2013;314497
País Vasco;2014;301854
País Vasco;2015;290148
País Vasco;2016;279548
País Vasco;2017;271844
País Vasco;2018;265270
País Vasco;2019;260667
País Vasco;2020;257826
País Vasco;2021;256806
País Vasco;2022;256167
País Vasco;2023;257566
País Vasco;2024;261751
Rioja, La;2008;53162
Rioja, La;2009;51910
Rioja, La;2010;50287
Rioja, La;2011;48666
Rioja, La;2012;46732
Rioja, La;2013;44951
Rioja, La;2014;43426
Rioja, La;2015;41912
Rioja, La;2016;40366
Rioja, La;2017;39201
Rioja, La;2018;38299
Rioja, La;2019;37675
Rioja, La;2020;37226
Rioja, La;2021;36942
Rioja, La;2022;36839
Rioja, La;2023;36971
Rioja, La;2024;37291
