ccaa;año;emig_2034
Melilla;2020;76
Melilla;2021;250
Melilla;2022;173
Melilla;2023;239
Melilla;2024;223
Murcia, Región de;2008;178
Murcia, Región de;2009;198
Murcia, Región de;2010;212
Murcia, Región de;2011;361
Murcia, Región de;2012;428
Murcia, Región de;2013;513
Murcia, Región de;2014;663
Murcia, Región de;2015;557
Murcia, Región de;2016;662
Murcia, Región de;2017;680
Murcia, Región de;2018;535
Murcia, Región de;2019;592
Murcia, Región de;2020;520
Murcia, Región de;2021;899
Murcia, Región de;2022;845
Murcia, Región de;2023;1062
Murcia, Región de;2024;1276
Navarra, Comunidad Foral de;2008;156
Navarra, Comunidad Foral de;2009;158
Navarra, Comunidad Foral de;2010;173
Navarra, Comunidad Foral de;2011;244
Navarra, Comunidad Foral de;2012;273
Navarra, Comunidad Foral de;2013;419
Navarra, Comunidad Foral de;2014;424
Navarra, Comunidad Foral de;2015;501
Navarra, Comunidad Foral de;2016;453
Navarra, Comunidad Foral de;2017;395
Navarra, Comunidad Foral de;2018;332
Navarra, Comunidad Foral de;2019;359
Navarra, Comunidad Foral de;2020;277
Navarra, Comunidad Foral de;2021;448
Navarra, Comunidad Foral de;2022;517
Navarra, Comunidad Foral de;2023;542
Navarra, Comunidad Foral de;2024;545
País Vasco;2008;745
País Vasco;2009;722
País Vasco;2010;721
País Vasco;2011;886
País Vasco;2012;767
País Vasco;2013;820
País Vasco;2014;1022
País Vasco;2015;1209
País Vasco;2016;1046
País Vasco;2017;967
País Vasco;2018;820
País Vasco;2019;959
País Vasco;2020;734
País Vasco;2021;1673
País Vasco;2022;1452
País Vasco;2023;1551
País Vasco;2024;1559
Rioja, La;2008;69
Rioja, La;2009;66
Rioja, La;2010;66
Rioja, La;2011;95
Rioja, La;2012;90
Rioja, La;2013;129
Rioja, La;2014;171
Rioja, La;2015;167
Rioja, La;2016;179
Rioja, La;2017;153
Rioja, La;2018;131
Rioja, La;2019;176
Rioja, La;2020;132
Rioja, La;2021;160
Rioja, La;2022;158
Rioja, La;2023;267
Rioja, La;2024;185
