nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Total,Ambos sexos,Irlanda,2019,1751,EM
Total,Ambos sexos,Irlanda,2018,2019,EM
Total,Ambos sexos,Irlanda,2017,2025,EM
Total,Ambos sexos,Irlanda,2016,2033,EM
Total,Ambos sexos,Irlanda,2015,1843,EM
Total,Ambos sexos,Irlanda,2014,1760,EM
Total,Ambos sexos,Irlanda,2013,1449,EM
Total,Ambos sexos,Irlanda,2012,914,EM
Total,Ambos sexos,Irlanda,2011,1047,EM
Total,Ambos sexos,Irlanda,2010,1033,EM
Total,Ambos sexos,Irlanda,2009,1084,EM
Total,Ambos sexos,Irlanda,2008,811,EM
Total,Ambos sexos,Italia,2020,8173,EM
Total,Ambos sexos,Italia,2019,7915,EM
Total,Ambos sexos,Italia,2018,7695,EM
Total,Ambos sexos,Italia,2017,9261,EM
Total,Ambos sexos,Italia,2016,7924,EM
Total,Ambos sexos,Italia,2015,7767,EM
Total,Ambos sexos,Italia,2014,9477,EM
Total,Ambos sexos,Italia,2013,10416,EM
Total,Ambos sexos,Italia,2012,7200,EM
Total,Ambos sexos,Italia,2011,7694,EM
Total,Ambos sexos,Italia,2010,9552,EM
Total,Ambos sexos,Italia,2009,8640,EM
Total,Ambos sexos,Italia,2008,7053,EM
Total,Ambos sexos,Países Bajos,2020,3558,EM
Total,Ambos sexos,Países Bajos,2019,4789,EM
Total,Ambos sexos,Países Bajos,2018,3868,EM
Total,Ambos sexos,Países Bajos,2017,4835,EM
Total,Ambos sexos,Países Bajos,2016,4841,EM
Total,Ambos sexos,Países Bajos,2015,4784,EM
Total,Ambos sexos,Países Bajos,2014,5863,EM
Total,Ambos sexos,Países Bajos,2013,5639,EM
Total,Ambos sexos,Países Bajos,2012,4232,EM
Total,Ambos sexos,Países Bajos,2011,4754,EM
Total,Ambos sexos,Países Bajos,2010,4892,EM
Total,Ambos sexos,Países Bajos,2009,4803,EM
Total,Ambos sexos,Países Bajos,2008,3718,EM
Total,Ambos sexos,Polonia,2020,2001,EM
Total,Ambos sexos,Polonia,2019,3170,EM
Total,Ambos sexos,Polonia,2018,2795,EM
Total,Ambos sexos,Polonia,2017,4479,EM
Total,Ambos sexos,Polonia,2016,3196,EM
Total,Ambos sexos,Polonia,2015,3386,EM
Total,Ambos sexos,Polonia,2014,4369,EM
Total,Ambos sexos,Polonia,2013,5179,EM
Total,Ambos sexos,Polonia,2012,5470,EM
Total,Ambos sexos,Polonia,2011,4916,EM
Total,Ambos sexos,Polonia,2010,6689,EM
Total,Ambos sexos,Polonia,2009,7063,EM
Total,Ambos sexos,Polonia,2008,5326,EM
Total,Ambos sexos,Portugal,2020,6407,EM
Total,Ambos sexos,Portugal,2019,6678,EM
Total,Ambos sexos,Portugal,2018,7480,EM
Total,Ambos sexos,Portugal,2017,9457,EM
Total,Ambos sexos,Portugal,2016,7375,EM
Total,Ambos sexos,Portugal,2015,7311,EM
Total,Ambos sexos,Portugal,2014,9457,EM
Total,Ambos sexos,Portugal,2013,10737,EM
Total,Ambos sexos,Portugal,2012,10400,EM
Total,Ambos sexos,Portugal,2011,11039,EM
Total,Ambos sexos,Portugal,2010,13983,EM
Total,Ambos sexos,Portugal,2009,14169,EM
Total,Ambos sexos,Portugal,2008,9683,EM
Total,Ambos sexos,Alemania,2020,14266,EM
Total,Ambos sexos,Alemania,2019,16983,EM
Total,Ambos sexos,Alemania,2018,17529,EM
Total,Ambos sexos,Alemania,2017,20763,EM
Total,Ambos sexos,Alemania,2016,22416,EM
Total,Ambos sexos,Alemania,2015,24160,EM
Total,Ambos sexos,Alemania,2014,23902,EM
Total,Ambos sexos,Alemania,2013,25396,EM
Total,Ambos sexos,Alemania,2012,16691,EM
Total,Ambos sexos,Alemania,2011,14796,EM
Total,Ambos sexos,Alemania,2010,14137,EM
Total,Ambos sexos,Alemania,2009,12064,EM
Total,Ambos sexos,Alemania,2008,9728,EM
Total,Ambos sexos,Rumanía,2020,32671,EM
Total,Ambos sexos,Rumanía,2019,42257,EM
Total,Ambos sexos,Rumanía,2018,45759,EM
Total,Ambos sexos,Rumanía,2017,58177,EM
Total,Ambos sexos,Rumanía,2016,43510,EM
Total,Ambos sexos,Rumanía,2015,46080,EM
Total,Ambos sexos,Rumanía,2014,53242,EM
Total,Ambos sexos,Rumanía,2013,70054,EM
Total,Ambos sexos,Rumanía,2012,63879,EM
