nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Extranjero,Ambos sexos,Ucrania,2011,3856,EM
Extranjero,Ambos sexos,Ucrania,2010,3974,EM
Extranjero,Ambos sexos,Ucrania,2009,4354,EM
Extranjero,Ambos sexos,Ucrania,2008,3949,EM
Extranjero,Ambos sexos,Moldavia,2020,272,EM
Extranjero,Ambos sexos,Moldavia,2019,337,EM
Extranjero,Ambos sexos,Moldavia,2018,679,EM
Extranjero,Ambos sexos,Moldavia,2017,409,EM
Extranjero,Ambos sexos,Moldavia,2016,534,EM
Extranjero,Ambos sexos,Moldavia,2015,292,EM
Extranjero,Ambos sexos,Moldavia,2014,436,EM
Extranjero,Ambos sexos,Moldavia,2013,818,EM
Extranjero,Ambos sexos,Moldavia,2012,853,EM
Extranjero,Ambos sexos,Moldavia,2011,692,EM
Extranjero,Ambos sexos,Moldavia,2010,783,EM
Extranjero,Ambos sexos,Moldavia,2009,865,EM
Extranjero,Ambos sexos,Moldavia,2008,691,EM
Extranjero,Ambos sexos,Rusia,2020,3420,EM
Extranjero,Ambos sexos,Rusia,2019,3968,EM
Extranjero,Ambos sexos,Rusia,2018,4004,EM
Extranjero,Ambos sexos,Rusia,2017,4989,EM
Extranjero,Ambos sexos,Rusia,2016,3374,EM
Extranjero,Ambos sexos,Rusia,2015,2929,EM
Extranjero,Ambos sexos,Rusia,2014,3345,EM
Extranjero,Ambos sexos,Rusia,2013,4836,EM
Extranjero,Ambos sexos,Rusia,2012,3334,EM
Extranjero,Ambos sexos,Rusia,2011,2804,EM
Extranjero,Ambos sexos,Rusia,2010,2924,EM
Extranjero,Ambos sexos,Rusia,2009,2923,EM
Extranjero,Ambos sexos,Rusia,2008,2866,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2020,1199,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2019,1249,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2018,1087,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2017,1257,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2016,1135,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2015,1209,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2014,1614,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2013,2543,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2012,2150,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2011,2199,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2010,2108,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2009,2113,EM
Extranjero,Ambos sexos,Otro país del resto de Europa,2008,1835,EM
Extranjero,Ambos sexos,África,2020,22486,EM
Extranjero,Ambos sexos,África,2019,23718,EM
Extranjero,Ambos sexos,África,2018,27415,EM
Extranjero,Ambos sexos,África,2017,31727,EM
Extranjero,Ambos sexos,África,2016,26618,EM
Extranjero,Ambos sexos,África,2015,27292,EM
Extranjero,Ambos sexos,África,2014,37118,EM
Extranjero,Ambos sexos,África,2013,59641,EM
Extranjero,Ambos sexos,África,2012,56137,EM
Extranjero,Ambos sexos,África,2011,55009,EM
Extranjero,Ambos sexos,África,2010,49396,EM
Extranjero,Ambos sexos,África,2009,42773,EM
Extranjero,Ambos sexos,África,2008,34851,EM
Extranjero,Ambos sexos,Argelia,2020,3131,EM
Extranjero,Ambos sexos,Argelia,2019,2759,EM
Extranjero,Ambos sexos,Argelia,2018,3066,EM
Extranjero,Ambos sexos,Argelia,2017,3931,EM
Extranjero,Ambos sexos,Argelia,2016,3388,EM
Extranjero,Ambos sexos,Argelia,2015,3103,EM
Extranjero,Ambos sexos,Argelia,2014,4476,EM
Extranjero,Ambos sexos,Argelia,2013,5159,EM
Extranjero,Ambos sexos,Argelia,2012,4835,EM
Extranjero,Ambos sexos,Argelia,2011,4974,EM
Extranjero,Ambos sexos,Argelia,2010,4143,EM
Extranjero,Ambos sexos,Argelia,2009,3567,EM
Extranjero,Ambos sexos,Argelia,2008,2789,EM
Extranjero,Ambos sexos,Gambia,2020,280,EM
Extranjero,Ambos sexos,Gambia,2019,270,EM
Extranjero,Ambos sexos,Gambia,2018,563,EM
Extranjero,Ambos sexos,Gambia,2017,747,EM
Extranjero,Ambos sexos,Gambia,2016,311,EM
Extranjero,Ambos sexos,Gambia,2015,374,EM
Extranjero,Ambos sexos,Gambia,2014,648,EM
Extranjero,Ambos sexos,Gambia,2013,1092,EM
Extranjero,Ambos sexos,Gambia,2012,1125,EM
Extranjero,Ambos sexos,Gambia,2011,1211,EM
Extranjero,Ambos sexos,Gambia,2010,975,EM
Extranjero,Ambos sexos,Gambia,2009,693,EM
Extranjero,Ambos sexos,Gambia,2008,549,EM
Extranjero,Ambos sexos,Ghana,2020,122,EM
Extranjero,Ambos sexos,Ghana,2019,115,EM
Extranjero,Ambos sexos,Ghana,2018,208,EM
Extranjero,Ambos sexos,Ghana,2017,338,EM
Extranjero,Ambos sexos,Ghana,2016,264,EM
Extranjero,Ambos sexos,Ghana,2015,300,EM
Extranjero,Ambos sexos,Ghana,2014,412,EM
Extranjero,Ambos sexos,Ghana,2013,1021,EM
Extranjero,Ambos sexos,Ghana,2012,1161,EM
Extranjero,Ambos sexos,Ghana,2011,725,EM
Extranjero,Ambos sexos,Ghana,2010,806,EM
Extranjero,Ambos sexos,Ghana,2009,727,EM
Extranjero,Ambos sexos,Ghana,2008,424,EM
Extranjero,Ambos sexos,Guinea,2020,63,EM
Extranjero,Ambos sexos,Guinea,2019,169,EM
Extranjero,Ambos sexos,Guinea,2018,172,EM
Extranjero,Ambos sexos,Guinea,2017,166,EM
Extranjero,Ambos sexos,Guinea,2016,189,EM
Extranjero,Ambos sexos,Guinea,2015,246,EM
Extranjero,Ambos sexos,Guinea,2014,189,EM
Extranjero,Ambos sexos,Guinea,2013,711,EM
Extranjero,Ambos sexos,Guinea,2012,373,EM
Extranjero,Ambos sexos,Guinea,2011,375,EM
Extranjero,Ambos sexos,Guinea,2010,402,EM
Extranjero,Ambos sexos,Guinea,2009,410,EM
Extranjero,Ambos sexos,Guinea,2008,334,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2020,527,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2019,650,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2018,1034,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2017,967,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2016,701,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2015,512,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2014,953,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2013,1656,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2012,1497,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2011,1587,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2010,1616,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2009,1685,EM
Extranjero,Ambos sexos,Guinea Ecuatorial,2008,1282,EM
Extranjero,Ambos sexos,Mali,2020,408,EM
Extranjero,Ambos sexos,Mali,2019,454,EM
Extranjero,Ambos sexos,Mali,2018,525,EM
Extranjero,Ambos sexos,Mali,2017,720,EM
Extranjero,Ambos sexos,Mali,2016,575,EM
Extranjero,Ambos sexos,Mali,2015,552,EM
Extranjero,Ambos sexos,Mali,2014,1103,EM
Extranjero,Ambos sexos,Mali,2013,1899,EM
Extranjero,Ambos sexos,Mali,2012,1642,EM
Extranjero,Ambos sexos,Mali,2011,2093,EM
Extranjero,Ambos sexos,Mali,2010,1453,EM
Extranjero,Ambos sexos,Mali,2009,929,EM
Extranjero,Ambos sexos,Mali,2008,909,EM
Extranjero,Ambos sexos,Marruecos,2020,15311,EM
Extranjero,Ambos sexos,Marruecos,2019,16576,EM
Extranjero,Ambos sexos,Marruecos,2018,18259,EM
Extranjero,Ambos sexos,Marruecos,2017,21180,EM
Extranjero,Ambos sexos,Marruecos,2016,17550,EM
Extranjero,Ambos sexos,Marruecos,2015,17471,EM
Extranjero,Ambos sexos,Marruecos,2014,23581,EM
Extranjero,Ambos sexos,Marruecos,2013,39134,EM
Extranjero,Ambos sexos,Marruecos,2012,36857,EM
Extranjero,Ambos sexos,Marruecos,2011,36110,EM
Extranjero,Ambos sexos,Marruecos,2010,32640,EM
Extranjero,Ambos sexos,Marruecos,2009,28681,EM
Extranjero,Ambos sexos,Marruecos,2008,23954,EM
Extranjero,Ambos sexos,Mauritania,2020,178,EM
Extranjero,Ambos sexos,Mauritania,2019,129,EM
Extranjero,Ambos sexos,Mauritania,2018,207,EM
Extranjero,Ambos sexos,Mauritania,2017,372,EM
Extranjero,Ambos sexos,Mauritania,2016,209,EM
Extranjero,Ambos sexos,Mauritania,2015,329,EM
Extranjero,Ambos sexos,Mauritania,2014,324,EM
Extranjero,Ambos sexos,Mauritania,2013,487,EM
Extranjero,Ambos sexos,Mauritania,2012,557,EM
Extranjero,Ambos sexos,Mauritania,2011,519,EM
Extranjero,Ambos sexos,Mauritania,2010,486,EM
Extranjero,Ambos sexos,Mauritania,2009,302,EM
Extranjero,Ambos sexos,Mauritania,2008,250,EM
Extranjero,Ambos sexos,Nigeria,2020,392,EM
Extranjero,Ambos sexos,Nigeria,2019,580,EM
Extranjero,Ambos sexos,Nigeria,2018,803,EM
Extranjero,Ambos sexos,Nigeria,2017,1066,EM
Extranjero,Ambos sexos,Nigeria,2016,776,EM
Extranjero,Ambos sexos,Nigeria,2015,1378,EM
Extranjero,Ambos sexos,Nigeria,2014,1650,EM
Extranjero,Ambos sexos,Nigeria,2013,2680,EM
Extranjero,Ambos sexos,Nigeria,2012,2446,EM
Extranjero,Ambos sexos,Nigeria,2011,2604,EM
Extranjero,Ambos sexos,Nigeria,2010,2675,EM
Extranjero,Ambos sexos,Nigeria,2009,2583,EM
Extranjero,Ambos sexos,Nigeria,2008,2048,EM
Extranjero,Ambos sexos,Senegal,2020,1499,EM
Extranjero,Ambos sexos,Senegal,2019,1506,EM
Extranjero,Ambos sexos,Senegal,2018,1807,EM
Extranjero,Ambos sexos,Senegal,2017,1637,EM
Extranjero,Ambos sexos,Senegal,2016,1816,EM
Extranjero,Ambos sexos,Senegal,2015,2192,EM
Extranjero,Ambos sexos,Senegal,2014,2985,EM
Extranjero,Ambos sexos,Senegal,2013,4759,EM
Extranjero,Ambos sexos,Senegal,2012,4025,EM
Extranjero,Ambos sexos,Senegal,2011,3555,EM
Extranjero,Ambos sexos,Senegal,2010,3245,EM
Extranjero,Ambos sexos,Senegal,2009,2237,EM
Extranjero,Ambos sexos,Senegal,2008,1520,EM
Extranjero,Ambos sexos,Otro país de África,2020,575,EM
Extranjero,Ambos sexos,Otro país de África,2019,510,EM
Extranjero,Ambos sexos,Otro país de África,2018,771,EM
Extranjero,Ambos sexos,Otro país de África,2017,603,EM
Extranjero,Ambos sexos,Otro país de África,2016,839,EM
Extranjero,Ambos sexos,Otro país de África,2015,836,EM
Extranjero,Ambos sexos,Otro país de África,2014,797,EM
Extranjero,Ambos sexos,Otro país de África,2013,1041,EM
Extranjero,Ambos sexos,Otro país de África,2012,1619,EM
Extranjero,Ambos sexos,Otro país de África,2011,1256,EM
Extranjero,Ambos sexos,Otro país de África,2010,952,EM
Extranjero,Ambos sexos,Otro país de África,2009,957,EM
Extranjero,Ambos sexos,Otro país de África,2008,793,EM
Extranjero,Ambos sexos,América del Norte,2020,6343,EM
Extranjero,Ambos sexos,América del Norte,2019,7240,EM
Extranjero,Ambos sexos,América del Norte,2018,6946,EM
Extranjero,Ambos sexos,América del Norte,2017,8506,EM
Extranjero,Ambos sexos,América del Norte,2016,8483,EM
Extranjero,Ambos sexos,América del Norte,2015,7059,EM
Extranjero,Ambos sexos,América del Norte,2014,8536,EM
Extranjero,Ambos sexos,América del Norte,2013,12075,EM
Extranjero,Ambos sexos,América del Norte,2012,7532,EM
Extranjero,Ambos sexos,América del Norte,2011,7172,EM
Extranjero,Ambos sexos,América del Norte,2010,6702,EM
Extranjero,Ambos sexos,América del Norte,2009,6743,EM
Extranjero,Ambos sexos,América del Norte,2008,6543,EM
Extranjero,Ambos sexos,Estados Unidos de América,2020,4481,EM
Extranjero,Ambos sexos,Estados Unidos de América,2019,4566,EM
Extranjero,Ambos sexos,Estados Unidos de América,2018,4438,EM
Extranjero,Ambos sexos,Estados Unidos de América,2017,5616,EM
Extranjero,Ambos sexos,Estados Unidos de América,2016,5940,EM
Extranjero,Ambos sexos,Estados Unidos de América,2015,4780,EM
Extranjero,Ambos sexos,Estados Unidos de América,2014,5610,EM
Extranjero,Ambos sexos,Estados Unidos de América,2013,6699,EM
Extranjero,Ambos sexos,Estados Unidos de América,2012,3811,EM
Extranjero,Ambos sexos,Estados Unidos de América,2011,4144,EM
Extranjero,Ambos sexos,Estados Unidos de América,2010,3592,EM
Extranjero,Ambos sexos,Estados Unidos de América,2009,3570,EM
Extranjero,Ambos sexos,Estados Unidos de América,2008,3879,EM
Extranjero,Ambos sexos,México,2020,1567,EM
Extranjero,Ambos sexos,México,2019,2274,EM
Extranjero,Ambos sexos,México,2018,2175,EM
Extranjero,Ambos sexos,México,2017,2519,EM
Extranjero,Ambos sexos,México,2016,1751,EM
Extranjero,Ambos sexos,México,2015,1883,EM
Extranjero,Ambos sexos,México,2014,2460,EM
Extranjero,Ambos sexos,México,2013,4502,EM
Extranjero,Ambos sexos,México,2012,2946,EM
Extranjero,Ambos sexos,México,2011,2726,EM
Extranjero,Ambos sexos,México,2010,2793,EM
Extranjero,Ambos sexos,México,2009,2625,EM
Extranjero,Ambos sexos,México,2008,2393,EM
Extranjero,Ambos sexos,Canadá,2020,295,EM
Extranjero,Ambos sexos,Canadá,2019,400,EM
Extranjero,Ambos sexos,Canadá,2018,333,EM
Extranjero,Ambos sexos,Canadá,2017,371,EM
Extranjero,Ambos sexos,Canadá,2016,791,EM
Extranjero,Ambos sexos,Canadá,2015,396,EM
Extranjero,Ambos sexos,Canadá,2014,465,EM
Extranjero,Ambos sexos,Canadá,2013,875,EM
Extranjero,Ambos sexos,Canadá,2012,775,EM
Extranjero,Ambos sexos,Canadá,2011,302,EM
Extranjero,Ambos sexos,Canadá,2010,317,EM
Extranjero,Ambos sexos,Canadá,2009,548,EM
Extranjero,Ambos sexos,Canadá,2008,270,EM
Extranjero,Ambos sexos,Centro América y Caribe,2020,6845,EM
Extranjero,Ambos sexos,Centro América y Caribe,2019,8293,EM
Extranjero,Ambos sexos,Centro América y Caribe,2018,6912,EM
Extranjero,Ambos sexos,Centro América y Caribe,2017,7568,EM
Extranjero,Ambos sexos,Centro América y Caribe,2016,6636,EM
Extranjero,Ambos sexos,Centro América y Caribe,2015,7098,EM
Extranjero,Ambos sexos,Centro América y Caribe,2014,9682,EM
Extranjero,Ambos sexos,Centro América y Caribe,2013,15636,EM
Extranjero,Ambos sexos,Centro América y Caribe,2012,11448,EM
Extranjero,Ambos sexos,Centro América y Caribe,2011,9671,EM
Extranjero,Ambos sexos,Centro América y Caribe,2010,8764,EM
Extranjero,Ambos sexos,Centro América y Caribe,2009,8063,EM
Extranjero,Ambos sexos,Centro América y Caribe,2008,5979,EM
Extranjero,Ambos sexos,Cuba,2020,969,EM
Extranjero,Ambos sexos,Cuba,2019,1394,EM
Extranjero,Ambos sexos,Cuba,2018,1373,EM
Extranjero,Ambos sexos,Cuba,2017,1291,EM
Extranjero,Ambos sexos,Cuba,2016,864,EM
Extranjero,Ambos sexos,Cuba,2015,903,EM
Extranjero,Ambos sexos,Cuba,2014,1195,EM
Extranjero,Ambos sexos,Cuba,2013,1723,EM
Extranjero,Ambos sexos,Cuba,2012,1670,EM
Extranjero,Ambos sexos,Cuba,2011,1537,EM
Extranjero,Ambos sexos,Cuba,2010,1900,EM
Extranjero,Ambos sexos,Cuba,2009,1802,EM
Extranjero,Ambos sexos,Cuba,2008,1063,EM
Extranjero,Ambos sexos,Honduras,2020,2349,EM
Extranjero,Ambos sexos,Honduras,2019,2580,EM
Extranjero,Ambos sexos,Honduras,2018,1684,EM
Extranjero,Ambos sexos,Honduras,2017,1483,EM
Extranjero,Ambos sexos,Honduras,2016,1554,EM
Extranjero,Ambos sexos,Honduras,2015,1427,EM
Extranjero,Ambos sexos,Honduras,2014,2144,EM
Extranjero,Ambos sexos,Honduras,2013,3570,EM
Extranjero,Ambos sexos,Honduras,2012,2345,EM
Extranjero,Ambos sexos,Honduras,2011,1777,EM
Extranjero,Ambos sexos,Honduras,2010,1639,EM
Extranjero,Ambos sexos,Honduras,2009,1503,EM
Extranjero,Ambos sexos,Honduras,2008,1275,EM
Extranjero,Ambos sexos,Nicaragua,2020,1075,EM
Extranjero,Ambos sexos,Nicaragua,2019,923,EM
Extranjero,Ambos sexos,Nicaragua,2018,672,EM
Extranjero,Ambos sexos,Nicaragua,2017,1194,EM
Extranjero,Ambos sexos,Nicaragua,2016,953,EM
Extranjero,Ambos sexos,Nicaragua,2015,967,EM
Extranjero,Ambos sexos,Nicaragua,2014,1234,EM
Extranjero,Ambos sexos,Nicaragua,2013,2108,EM
Extranjero,Ambos sexos,Nicaragua,2012,1269,EM
Extranjero,Ambos sexos,Nicaragua,2011,868,EM
Extranjero,Ambos sexos,Nicaragua,2010,644,EM
Extranjero,Ambos sexos,Nicaragua,2009,610,EM
Extranjero,Ambos sexos,Nicaragua,2008,473,EM
Extranjero,Ambos sexos,República Dominicana,2020,1618,EM
Extranjero,Ambos sexos,República Dominicana,2019,2324,EM
Extranjero,Ambos sexos,República Dominicana,2018,2329,EM
Extranjero,Ambos sexos,República Dominicana,2017,2712,EM
Extranjero,Ambos sexos,República Dominicana,2016,2709,EM
Extranjero,Ambos sexos,República Dominicana,2015,2998,EM
Extranjero,Ambos sexos,República Dominicana,2014,3980,EM
Extranjero,Ambos sexos,República Dominicana,2013,6231,EM
Extranjero,Ambos sexos,República Dominicana,2012,4725,EM
Extranjero,Ambos sexos,República Dominicana,2011,4276,EM
Extranjero,Ambos sexos,República Dominicana,2010,3533,EM
Extranjero,Ambos sexos,República Dominicana,2009,3190,EM
Extranjero,Ambos sexos,República Dominicana,2008,2313,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2020,834,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2019,1072,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2018,854,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2017,888,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2016,555,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2015,803,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2014,1130,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2013,2004,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2012,1440,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2011,1214,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2010,1049,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2009,958,EM
Extranjero,Ambos sexos,Otros países de Centro América y Caribe,2008,855,EM
Extranjero,Ambos sexos,Sudamérica,2020,30727,EM
Extranjero,Ambos sexos,Sudamérica,2019,39513,EM
Extranjero,Ambos sexos,Sudamérica,2018,37907,EM
Extranjero,Ambos sexos,Sudamérica,2017,44148,EM
Extranjero,Ambos sexos,Sudamérica,2016,34238,EM
Extranjero,Ambos sexos,Sudamérica,2015,43396,EM
Extranjero,Ambos sexos,Sudamérica,2014,71549,EM
Extranjero,Ambos sexos,Sudamérica,2013,134432,EM
Extranjero,Ambos sexos,Sudamérica,2012,120016,EM
Extranjero,Ambos sexos,Sudamérica,2011,116252,EM
Extranjero,Ambos sexos,Sudamérica,2010,116823,EM
Extranjero,Ambos sexos,Sudamérica,2009,113512,EM
Extranjero,Ambos sexos,Sudamérica,2008,84591,EM
Extranjero,Ambos sexos,Argentina,2020,3600,EM
Extranjero,Ambos sexos,Argentina,2019,4989,EM
Extranjero,Ambos sexos,Argentina,2018,4292,EM
Extranjero,Ambos sexos,Argentina,2017,5988,EM
Extranjero,Ambos sexos,Argentina,2016,4279,EM
Extranjero,Ambos sexos,Argentina,2015,5096,EM
Extranjero,Ambos sexos,Argentina,2014,7371,EM
Extranjero,Ambos sexos,Argentina,2013,12093,EM
Extranjero,Ambos sexos,Argentina,2012,10945,EM
Extranjero,Ambos sexos,Argentina,2011,12159,EM
Extranjero,Ambos sexos,Argentina,2010,13487,EM
Extranjero,Ambos sexos,Argentina,2009,14430,EM
Extranjero,Ambos sexos,Argentina,2008,11549,EM
Extranjero,Ambos sexos,Bolivia,2020,1723,EM
Extranjero,Ambos sexos,Bolivia,2019,2693,EM
Extranjero,Ambos sexos,Bolivia,2018,3427,EM
Extranjero,Ambos sexos,Bolivia,2017,4412,EM
Extranjero,Ambos sexos,Bolivia,2016,4347,EM
Extranjero,Ambos sexos,Bolivia,2015,6324,EM
Extranjero,Ambos sexos,Bolivia,2014,11112,EM
Extranjero,Ambos sexos,Bolivia,2013,22383,EM
Extranjero,Ambos sexos,Bolivia,2012,19764,EM
Extranjero,Ambos sexos,Bolivia,2011,18939,EM
Extranjero,Ambos sexos,Bolivia,2010,20539,EM
Extranjero,Ambos sexos,Bolivia,2009,22098,EM
Extranjero,Ambos sexos,Bolivia,2008,20292,EM
Extranjero,Ambos sexos,Brasil,2020,3915,EM
Extranjero,Ambos sexos,Brasil,2019,5172,EM
Extranjero,Ambos sexos,Brasil,2018,5175,EM
Extranjero,Ambos sexos,Brasil,2017,5444,EM
Extranjero,Ambos sexos,Brasil,2016,3833,EM
Extranjero,Ambos sexos,Brasil,2015,4781,EM
Extranjero,Ambos sexos,Brasil,2014,7494,EM
Extranjero,Ambos sexos,Brasil,2013,15427,EM
Extranjero,Ambos sexos,Brasil,2012,14237,EM
Extranjero,Ambos sexos,Brasil,2011,15176,EM
Extranjero,Ambos sexos,Brasil,2010,16376,EM
Extranjero,Ambos sexos,Brasil,2009,17519,EM
Extranjero,Ambos sexos,Brasil,2008,13289,EM
Extranjero,Ambos sexos,Colombia,2020,7939,EM
Extranjero,Ambos sexos,Colombia,2019,8870,EM
Extranjero,Ambos sexos,Colombia,2018,7746,EM
Extranjero,Ambos sexos,Colombia,2017,7984,EM
Extranjero,Ambos sexos,Colombia,2016,5907,EM
Extranjero,Ambos sexos,Colombia,2015,6926,EM
Extranjero,Ambos sexos,Colombia,2014,11030,EM
Extranjero,Ambos sexos,Colombia,2013,19049,EM
Extranjero,Ambos sexos,Colombia,2012,17019,EM
Extranjero,Ambos sexos,Colombia,2011,15964,EM
Extranjero,Ambos sexos,Colombia,2010,14946,EM
Extranjero,Ambos sexos,Colombia,2009,13888,EM
Extranjero,Ambos sexos,Colombia,2008,9332,EM
Extranjero,Ambos sexos,Chile,2020,1082,EM
Extranjero,Ambos sexos,Chile,2019,1855,EM
Extranjero,Ambos sexos,Chile,2018,1620,EM
Extranjero,Ambos sexos,Chile,2017,1922,EM
Extranjero,Ambos sexos,Chile,2016,1431,EM
Extranjero,Ambos sexos,Chile,2015,1738,EM
Extranjero,Ambos sexos,Chile,2014,3070,EM
Extranjero,Ambos sexos,Chile,2013,5889,EM
Extranjero,Ambos sexos,Chile,2012,4921,EM
Extranjero,Ambos sexos,Chile,2011,4639,EM
Extranjero,Ambos sexos,Chile,2010,4791,EM
Extranjero,Ambos sexos,Chile,2009,4307,EM
Extranjero,Ambos sexos,Chile,2008,3086,EM
Extranjero,Ambos sexos,Ecuador,2020,3529,EM
Extranjero,Ambos sexos,Ecuador,2019,5113,EM
Extranjero,Ambos sexos,Ecuador,2018,6401,EM
Extranjero,Ambos sexos,Ecuador,2017,7905,EM
Extranjero,Ambos sexos,Ecuador,2016,5615,EM
Extranjero,Ambos sexos,Ecuador,2015,7868,EM
Extranjero,Ambos sexos,Ecuador,2014,13633,EM
Extranjero,Ambos sexos,Ecuador,2013,24779,EM
Extranjero,Ambos sexos,Ecuador,2012,22987,EM
Extranjero,Ambos sexos,Ecuador,2011,22672,EM
Extranjero,Ambos sexos,Ecuador,2010,22210,EM
Extranjero,Ambos sexos,Ecuador,2009,18811,EM
Extranjero,Ambos sexos,Ecuador,2008,11769,EM
Extranjero,Ambos sexos,Paraguay,2020,2217,EM
Extranjero,Ambos sexos,Paraguay,2019,2941,EM
Extranjero,Ambos sexos,Paraguay,2018,2954,EM
Extranjero,Ambos sexos,Paraguay,2017,3193,EM
Extranjero,Ambos sexos,Paraguay,2016,3217,EM
Extranjero,Ambos sexos,Paraguay,2015,4065,EM
Extranjero,Ambos sexos,Paraguay,2014,6999,EM
Extranjero,Ambos sexos,Paraguay,2013,14415,EM
Extranjero,Ambos sexos,Paraguay,2012,12323,EM
Extranjero,Ambos sexos,Paraguay,2011,10171,EM
Extranjero,Ambos sexos,Paraguay,2010,8201,EM
Extranjero,Ambos sexos,Paraguay,2009,7133,EM
Extranjero,Ambos sexos,Paraguay,2008,4771,EM
Extranjero,Ambos sexos,Perú,2020,3173,EM
Extranjero,Ambos sexos,Perú,2019,4055,EM
Extranjero,Ambos sexos,Perú,2018,3263,EM
Extranjero,Ambos sexos,Perú,2017,3447,EM
Extranjero,Ambos sexos,Perú,2016,2636,EM
Extranjero,Ambos sexos,Perú,2015,3234,EM
Extranjero,Ambos sexos,Perú,2014,6128,EM
Extranjero,Ambos sexos,Perú,2013,11424,EM
Extranjero,Ambos sexos,Perú,2012,10161,EM
Extranjero,Ambos sexos,Perú,2011,9190,EM
Extranjero,Ambos sexos,Perú,2010,8220,EM
Extranjero,Ambos sexos,Perú,2009,6525,EM
Extranjero,Ambos sexos,Perú,2008,3934,EM
Extranjero,Ambos sexos,Uruguay,2020,699,EM
Extranjero,Ambos sexos,Uruguay,2019,877,EM
Extranjero,Ambos sexos,Uruguay,2018,813,EM
Extranjero,Ambos sexos,Uruguay,2017,987,EM
Extranjero,Ambos sexos,Uruguay,2016,957,EM
Extranjero,Ambos sexos,Uruguay,2015,1312,EM
Extranjero,Ambos sexos,Uruguay,2014,2060,EM
Extranjero,Ambos sexos,Uruguay,2013,3500,EM
Extranjero,Ambos sexos,Uruguay,2012,3178,EM
Extranjero,Ambos sexos,Uruguay,2011,3391,EM
Extranjero,Ambos sexos,Uruguay,2010,3988,EM
Extranjero,Ambos sexos,Uruguay,2009,4395,EM
Extranjero,Ambos sexos,Uruguay,2008,2952,EM
Extranjero,Ambos sexos,Venezuela,2020,2849,EM
Extranjero,Ambos sexos,Venezuela,2019,2948,EM
Extranjero,Ambos sexos,Venezuela,2018,2216,EM
Extranjero,Ambos sexos,Venezuela,2017,2866,EM
Extranjero,Ambos sexos,Venezuela,2016,2002,EM
Extranjero,Ambos sexos,Venezuela,2015,2050,EM
Extranjero,Ambos sexos,Venezuela,2014,2651,EM
Extranjero,Ambos sexos,Venezuela,2013,5401,EM
Extranjero,Ambos sexos,Venezuela,2012,4480,EM
Extranjero,Ambos sexos,Venezuela,2011,3952,EM
Extranjero,Ambos sexos,Venezuela,2010,4055,EM
Extranjero,Ambos sexos,Venezuela,2009,4403,EM
Extranjero,Ambos sexos,Venezuela,2008,3615,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2020,1,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2019,0,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2018,0,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2017,0,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2016,14,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2015,2,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2014,1,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2013,72,EM
Extranjero,Ambos sexos,Otro país de Sudamérica,2012,NA,EM
