ccaa;año;parados_adulto;parados_joven
Comunitat Valenciana;2013;341,4;258,3
Comunitat Valenciana;2014;306,9;230,7
Comunitat Valenciana;2015;271,6;187,6
Comunitat Valenciana;2016;245,0;167,0
Comunitat Valenciana;2017;216,9;142,0
Comunitat Valenciana;2018;178,6;121,7
Comunitat Valenciana;2019;156,1;116,4
Comunitat Valenciana;2020;174,2;136,9
Comunitat Valenciana;2021;166,4;142,9
Comunitat Valenciana;2022;149,5;111,9
Comunitat Valenciana;2023;150,8;107,2
Comunitat Valenciana;2024;141,0;116,2
Extremadura;2008;31,7;29,7
Extremadura;2009;39,5;44,8
Extremadura;2010;49,6;49,9
Extremadura;2011;54,8;53,6
Extremadura;2012;75,1;69,6
Extremadura;2013;78,6;71,8
Extremadura;2014;73,7;56,6
Extremadura;2015;72,3;51,9
Extremadura;2016;66,8;49,2
Extremadura;2017;58,8;49,7
Extremadura;2018;52,9;43,9
Extremadura;2019;47,7;40,1
Extremadura;2020;47,9;37,8
Extremadura;2021;42,0;35,9
Extremadura;2022;40,3;27,5
Extremadura;2023;36,8;29,2
Extremadura;2024;32,8;23,9
Galicia;2008;43,9;53,3
Galicia;2009;66,2;76,9
Galicia;2010;85,1;90,2
Galicia;2011;98,2;102,0
Galicia;2012;122,2;116,9
Galicia;2013;136,2;114,2
Galicia;2014;137,3;103,0
Galicia;2015;122,7;87,2
Galicia;2016;110,3;74,3
Galicia;2017;102,3;60,7
Galicia;2018;83,3;52,7
Galicia;2019;74,4;44,9
Galicia;2020;70,7;50,5
Galicia;2021;65,2;48,7
Galicia;2022;63,0;46,1
Galicia;2023;57,4;38,3
Galicia;2024;50,7;40,8
Madrid, Comunidad de;2008;107,3;136,1
Madrid, Comunidad de;2009;184,0;223,7
Madrid, Comunidad de;2010;237,8;247,3
Madrid, Comunidad de;2011;249,2;241,0
Madrid, Comunidad de;2012;297,4;255,5
Madrid, Comunidad de;2013;317,5;253,2
Madrid, Comunidad de;2014;291,9;238,4
Madrid, Comunidad de;2015;272,3;220,0
Madrid, Comunidad de;2016;248,1;188,8
Madrid, Comunidad de;2017;215,0;155,2
Madrid, Comunidad de;2018;199,9;139,6
Madrid, Comunidad de;2019;160,1;128,9
Madrid, Comunidad de;2020;194,7;158,3
Madrid, Comunidad de;2021;182,2;140,1
Madrid, Comunidad de;2022;192,3;127,3
Madrid, Comunidad de;2023;150,3;138,0
Madrid, Comunidad de;2024;130,6;130,4
Melilla;2008;2,4;2,6
Melilla;2009;2,7;3,9
Melilla;2010;2,5;3,8
Melilla;2011;3,1;3,4
Melilla;2012;3,3;5,0
Melilla;2013;4,1;6,2
Melilla;2014;4,4;3,9
Melilla;2015;4,7;5,7
Melilla;2016;3,7;5,5
Melilla;2017;4,7;4,1
Melilla;2018;4,3;4,1
Melilla;2019;4,1;4,6
Melilla;2020;3,4;4,2
Melilla;2021;4,2;4,7
Melilla;2022;3,7;4,3
Melilla;2023;4,3;3,6
Melilla;2024;4,9;4,0
Murcia, Región de;2008;30,9;44,7
Murcia, Región de;2009;61,7;67,6
Murcia, Región de;2010;75,9;72,4
Murcia, Región de;2011;78,5;79,4
Murcia, Región de;2012;88,4;89,9
Murcia, Región de;2013;97,4;88,7
Murcia, Región de;2014;96,7;70,9
Murcia, Región de;2015;78,4;67,9
Murcia, Región de;2016;60,1;53,9
Murcia, Región de;2017;57,9;48,0
Murcia, Región de;2018;53,8;43,7
Murcia, Región de;2019;48,9;39,1
Murcia, Región de;2020;53,7;43,1
Murcia, Región de;2021;50,2;38,0
Murcia, Región de;2022;47,5;35,5
Murcia, Región de;2023;44,7;36,1
Murcia, Región de;2024;43,1;35,5
Navarra, Comunidad Foral de;2008;8,5;9,9
Navarra, Comunidad Foral de;2009;14,5;14,9
Navarra, Comunidad Foral de;2010;15,1;18,4
Navarra, Comunidad Foral de;2011;18,5;18,5
Navarra, Comunidad Foral de;2012;23,9;22,2
Navarra, Comunidad Foral de;2013;24,8;26,2
Navarra, Comunidad Foral de;2014;21,1;21,0
Navarra, Comunidad Foral de;2015;22,2;15,0
Navarra, Comunidad Foral de;2016;19,0;13,5
Navarra, Comunidad Foral de;2017;14,5;12,3
Navarra, Comunidad Foral de;2018;15,4;10,7
Navarra, Comunidad Foral de;2019;13,2;9,1
Navarra, Comunidad Foral de;2020;13,4;13,3
Navarra, Comunidad Foral de;2021;15,8;12,7
Navarra, Comunidad Foral de;2022;15,7;10,4
Navarra, Comunidad Foral de;2023;15,1;11,4
Navarra, Comunidad Foral de;2024;10,4;10,3
País Vasco;2008;29,2;33,6
País Vasco;2009;50,8;57,7
País Vasco;2010;46,8;56,8
País Vasco;2011;59,9;59,5
País Vasco;2012;78,3;69,5
País Vasco;2013;85,5;68,1
País Vasco;2014;88,2;63,6
País Vasco;2015;79,1;55,3
País Vasco;2016;61,1;47,9
País Vasco;2017;57,2;39,7
País Vasco;2018;48,5;35,8
País Vasco;2019;41,0;32,6
País Vasco;2020;43,6;36,4
País Vasco;2021;47,6;36,2
País Vasco;2022;44,9;28,7
País Vasco;2023;31,6;28,1
País Vasco;2024;36,1;32,0
Rioja, La;2008;5,5;5,4
Rioja, La;2009;8,8;8,2
Rioja, La;2010;10,7;8,3
Rioja, La;2011;13,8;10,9
Rioja, La;2012;15,1;12,9
Rioja, La;2013;16,1;10,7
Rioja, La;2014;15,5;8,6
Rioja, La;2015;11,4;7,5
Rioja, La;2016;10,3;6,7
Rioja, La;2017;8,9;6,4
Rioja, La;2018;6,7;5,6
Rioja, La;2019;7,0;4,5
Rioja, La;2020;7,3;6,1
Rioja, La;2021;7,5;6,7
Rioja, La;2022;6,2;5,7
Rioja, La;2023;6,6;5,4
Rioja, La;2024;7,0;5,6
