ccaa;año;ipc
Comunitat Valenciana;2013;79,3510000000000
Comunitat Valenciana;2014;79,1535000000000
Comunitat Valenciana;2015;78,8483333333333
Comunitat Valenciana;2016;78,4890000000000
Comunitat Valenciana;2017;79,9846666666667
Comunitat Valenciana;2018;81,3703333333333
Comunitat Valenciana;2019;81,8021666666667
Comunitat Valenciana;2020;81,4730000000000
Comunitat Valenciana;2021;84,1581666666667
Comunitat Valenciana;2022;91,2785833333333
Comunitat Valenciana;2023;94,4990833333333
Comunitat Valenciana;2024;97,1020833333333
Extremadura;2008;73,7626666666667
Extremadura;2009;73,4186666666667
Extremadura;2010;74,6883333333333
Extremadura;2011;77,1033333333333
Extremadura;2012;78,9125833333333
Extremadura;2013;79,9480833333333
Extremadura;2014;79,5034166666667
Extremadura;2015;78,8225833333333
Extremadura;2016;78,6262500000000
Extremadura;2017;79,9427500000000
Extremadura;2018;81,1846666666667
Extremadura;2019;81,6382500000000
Extremadura;2020;81,4939166666667
Extremadura;2021;84,2264166666667
Extremadura;2022;91,7602500000000
Extremadura;2023;94,6757500000000
Extremadura;2024;97,3198333333333
Galicia;2008;72,4330000000000
Galicia;2009;72,0100833333333
Galicia;2010;73,3595000000000
Galicia;2011;75,8381666666667
Galicia;2012;77,6356666666667
Galicia;2013;78,7875833333333
Galicia;2014;78,7970833333333
Galicia;2015;78,2363333333333
Galicia;2016;77,9985833333333
Galicia;2017;79,6480000000000
Galicia;2018;80,9675000000000
Galicia;2019;81,4237500000000
Galicia;2020;81,1474166666667
Galicia;2021;83,9924166666667
Galicia;2022;91,5843333333333
Galicia;2023;94,8769166666667
Galicia;2024;97,6729166666667
Madrid, Comunidad de;2008;73,9886666666667
Madrid, Comunidad de;2009;73,9405000000000
Madrid, Comunidad de;2010;75,3052500000000
Madrid, Comunidad de;2011;77,6364166666667
Madrid, Comunidad de;2012;79,4807500000000
Madrid, Comunidad de;2013;80,5064166666667
Madrid, Comunidad de;2014;80,3663333333333
Madrid, Comunidad de;2015;79,9920000000000
Madrid, Comunidad de;2016;79,7815833333333
Madrid, Comunidad de;2017;81,2121666666667
Madrid, Comunidad de;2018;82,5807500000000
Madrid, Comunidad de;2019;83,3730000000000
Madrid, Comunidad de;2020;83,0784166666667
Madrid, Comunidad de;2021;85,3505833333333
Madrid, Comunidad de;2022;91,7914166666667
Madrid, Comunidad de;2023;94,5876666666667
Madrid, Comunidad de;2024;97,1369166666667
Melilla;2008;74,4056666666667
Melilla;2009;74,4825833333333
Melilla;2010;76,0493333333333
Melilla;2011;77,8010833333333
Melilla;2012;79,0847500000000
Melilla;2013;79,1827500000000
Melilla;2014;78,8470833333333
Melilla;2015;78,4222500000000
Melilla;2016;78,3590833333333
Melilla;2017;80,0179166666667
Melilla;2018;80,7893333333333
Melilla;2019;80,5311666666667
Melilla;2020;80,6002500000000
Melilla;2021;83,7346666666667
Melilla;2022;90,9016666666667
Melilla;2023;95,3210000000000
Melilla;2024;97,4518333333333
Murcia, Región de;2008;74,2788333333333
Murcia, Región de;2009;73,8253333333333
Murcia, Región de;2010;75,0960833333333
Murcia, Región de;2011;77,4368333333333
Murcia, Región de;2012;79,2312500000000
Murcia, Región de;2013;80,5558333333333
Murcia, Región de;2014;80,2783333333333
Murcia, Región de;2015;79,7850833333333
Murcia, Región de;2016;79,6183333333333
Murcia, Región de;2017;80,8475833333333
Murcia, Región de;2018;81,9793333333333
Murcia, Región de;2019;82,3127500000000
Murcia, Región de;2020;82,1016666666667
Murcia, Región de;2021;84,5575833333333
Murcia, Región de;2022;92,0082500000000
Murcia, Región de;2023;95,4440000000000
Murcia, Región de;2024;98,0044166666667
Navarra, Comunidad Foral de;2008;73,2791666666667
Navarra, Comunidad Foral de;2009;72,8525833333333
Navarra, Comunidad Foral de;2010;74,0120000000000
Navarra, Comunidad Foral de;2011;76,3660000000000
Navarra, Comunidad Foral de;2012;78,3308333333333
Navarra, Comunidad Foral de;2013;79,2922500000000
Navarra, Comunidad Foral de;2014;78,9200833333333
Navarra, Comunidad Foral de;2015;78,4128333333333
Navarra, Comunidad Foral de;2016;78,4325000000000
Navarra, Comunidad Foral de;2017;79,6685833333333
Navarra, Comunidad Foral de;2018;81,0285833333333
Navarra, Comunidad Foral de;2019;81,9796666666667
Navarra, Comunidad Foral de;2020;81,5019166666667
Navarra, Comunidad Foral de;2021;84,2570833333333
Navarra, Comunidad Foral de;2022;91,6846666666667
Navarra, Comunidad Foral de;2023;95,0170000000000
Navarra, Comunidad Foral de;2024;97,4847500000000
País Vasco;2008;71,5943333333333
País Vasco;2009;71,7864166666667
País Vasco;2010;73,0008333333333
País Vasco;2011;75,2607500000000
País Vasco;2012;77,0007500000000
País Vasco;2013;78,2136666666667
País Vasco;2014;78,3399166666667
País Vasco;2015;78,1312500000000
País Vasco;2016;78,1422500000000
País Vasco;2017;79,6919166666667
País Vasco;2018;80,9670000000000
País Vasco;2019;81,7420000000000
País Vasco;2020;81,6295000000000
País Vasco;2021;84,1520000000000
País Vasco;2022;90,9255833333333
País Vasco;2023;94,2182500000000
País Vasco;2024;97,1015833333333
Rioja, La;2008;73,0544166666667
Rioja, La;2009;72,7070000000000
Rioja, La;2010;73,9227500000000
Rioja, La;2011;76,4802500000000
Rioja, La;2012;78,4305833333333
Rioja, La;2013;79,4322500000000
Rioja, La;2014;79,3066666666667
Rioja, La;2015;78,9960833333333
Rioja, La;2016;78,7174166666667
Rioja, La;2017;80,2365000000000
Rioja, La;2018;81,4655833333333
Rioja, La;2019;82,2036666666667
Rioja, La;2020;81,7352500000000
Rioja, La;2021;84,3828333333333
Rioja, La;2022;91,9120000000000
Rioja, La;2023;95,1157500000000
Rioja, La;2024;97,6973333333333
