ccaa;año;emig_2034;pob_2034;parados_adulto;parados_joven;activos_adulto;activos_joven;pib_crec;ipv;salario;ipc;tasa_emig_2034;paro_joven;paro_adulto;ratio_paro_jov_adult;salario_real;post2013;post2014;post2021
Aragón;2021;707;158924;30,2;23,8;360,4;156,0;5,4560;124,01900;1975,3;84,3337500000000;4,448667287508495;15,25641025641026;8,37957824639290;1,82066564781797;2342,24139208798;1;1;1
Aragón;2022;629;158726;29,8;20,4;358,2;156,2;3,6336;131,96000;2040,8;91,9054166666667;3,962803825460227;13,06017925736236;8,31937465103294;1,56985107717691;2220,54376555607;1;1;1
Aragón;2023;720;159105;26,6;18,1;359,6;160,7;1,3167;137,11350;2243,8;94,6364166666667;4,525313472235316;11,26322339763535;7,39710789766407;1,52265230593597;2370,96889234852;1;1;1
Aragón;2024;733;160351;20,3;20,8;354,9;164,0;3,0683;151,03750;2353,5;97,3027500000000;4,571221881996371;12,68292682926829;5,71992110453649;2,21732548359966;2418,73944981000;1;1;1
Asturias, Principado de;2008;280;201667;17,6;19,5;254,2;173,3;0,8012;145,64725;1747,8;73,5215833333333;1,388427457144699;11,25216387766878;6,92368214004721;1,62517048733148;2377,26109906502;0;0;0
Asturias, Principado de;2009;297;195104;25,8;32,7;255,5;168,0;-4,9076;144,29775;1842,0;73,1950833333333;1,522265048384452;19,46428571428572;10,09784735812133;1,92756782945736;2516,56247402774;0;0;0
Asturias, Principado de;2010;248;186927;31,2;37,5;264,1;158,3;0,6052;142,19550;1897,3;74,6297500000000;1,326721126429034;23,68919772583702;11,81370692919349;2,00522984595947;2542,28374073342;0;0;0
Asturias, Principado de;2011;428;178456;38,1;38,8;268,2;148,1;-0,8673;134,02650;1914,6;77,2810833333333;2,398350293629802;26,19851451721810;14,20581655480984;1,84421039199945;2477,44974244452;0;0;0
Asturias, Principado de;2012;435;169597;52,9;45,3;271,8;142,0;-3,8865;114,53625;1908,3;79,0359166666667;2,564903860327718;31,90140845070422;19,46284032376747;1,63909316009478;2414,47190148782;0;0;0
Asturias, Principado de;2013;521;160287;59,3;48,6;273,9;136,8;-3,0019;100,76350;1956,6;80,1195833333333;3,250419559914404;35,52631578947368;21,65023731288792;1,64092038697080;2442,09956991372;1;0;0
Asturias, Principado de;2014;620;152222;49,5;38,9;272,9;125,3;-0,1309;98,51050;1907,8;79,8569166666667;4,072998646713352;31,04549082202713;18,13851227555881;1,71157867582449;2389,02286694014;1;1;0
Asturias, Principado de;2015;983;143793;47,1;30,0;271,7;112,2;2,7624;100,00000;1957,3;79,3434166666667;6,836215949316030;26,73796791443850;17,33529628266471;1,54240039965031;2466,87133253021;1;1;0
Asturias, Principado de;2016;592;136093;41,7;31,4;275,9;109,0;1,4179;101,41800;1957,3;79,2575000000000;4,349966566979933;28,80733944954128;15,11417180137731;1,90598200338811;2469,54546888307;1;1;0
Asturias, Principado de;2017;498;129769;33,3;20,2;269,9;99,3;2,0617;102,53550;1958,3;80,6687500000000;3,837588330032597;20,34239677744210;12,33790292701000;1,64877263970920;2427,58193228481;1;1;0
